Postal Code,City,District
12144,Pahalahewessa,Kalutara
12148,DanawalaThiniyawala,Kalutara
12200,Agalawatta,Kalutara
12204,Veyangalla,Kalutara
12210,Mahagama,Kalutara
12214,Pelanda,Kalutara
12224,Bellana,Kalutara
12230,Baduraliya,Kalutara
12234,Hedigalla Colony,Kalutara
12236,Gurulubadda,Kalutara
12300,Bulathsinhala,Kalutara
12302,Paragoda,Kalutara
12304,Delmella,Kalutara
12306,Halwatura,Kalutara
12308,Diwalakada,Kalutara
12310,Govinna,Kalutara
12320,Anguruwatota,Kalutara
12322,Uduwara,Kalutara
12400,Horana,Kalutara
12404,Pokunuwita,Kalutara
12410,Gonapola,Kalutara
12412,Millaniya,Kalutara
12414,Paragastota,Kalutara
12416,Dombagoda,Kalutara
12418,Kananwila,Kalutara
12422,Millewa,Kalutara
12428,Kandanagama,Kalutara
12432,Poruwedanda,Kalutara
12440,Ingiriya,Kalutara
12440,lngiriya,Kalutara
12500,Panadura,Kalutara
12524,Alubomulla,Kalutara
12530,Bandaragama,Kalutara
12538,Haltota,Kalutara
12560,Wadduwa,Kalutara
12564,Morontuduwa,Kalutara
12580,Waskaduwa,Kalutara
1300,Colombo 13,Colombo
1400,Colombo 14,Colombo
1500,Colombo 15,Colombo
200,Colombo 02,Colombo
20000,Kandy,Kandy
20032,Halloluwa,Kandy
20034,Yatihalagala,Kandy
20042,lhala Kobbekaduwa,Kandy
20044,Sangarajapura,Kandy
20052,Uduwa,Kandy
20060,Hataraliyadda,Kandy
20062,Aludeniya,Kandy
20068,Dedunupitiya,Kandy
20080,Werellagama,Kandy
20084,Pallekotuwa,Kandy
20092,Harankahawa,Kandy
20093,Bokkawala,Kandy
20094,Udahingulwala,Kandy
20095,Gallellagama,Kandy
20100,Galagedara,Kandy
20106,Poholiyadda,Kandy
20112,Pujapitiya,Kandy
20120,MedawalaHarispattuwa,Kandy
20126,Dolapihilla,Kandy
20128,Rambukwella,Kandy
20132,Batugoda,Kandy
20136,Ambatenna,Kandy
20140,Alawatugoda,Kandy
20150,Ankumbura,Kandy
20152,Galhinna,Kandy
20154,Batagolladeniya,Kandy
20160,Ampitiya,Kandy
20164,Uduwela,Kandy
20166,Tennekumbura,Kandy
20168,Kundasale,Kandy
20168,Pallekele,Kandy
20170,Menikhinna,Kandy
20172,Lunuketiya Maditta,Kandy
20176,Naranpanawa,Kandy
20180,Rajawella,Kandy
20184,Gomagoda,Kandy
20186,Kengalla,Kandy
20189,Gurudeniya,Kandy
20196,Pilawala,Kandy
20200,Talatuoya,Kandy
20202,Etulgama,Kandy
20206,Kapuliyadde,Kandy
20210,Marassana,Kandy
20214,Godamunna,Kandy
20216,Mahamedagama,Kandy
20218,Bawlana,Kandy
20234,Yahalatenna,Kandy
20250,Polgolla,Kandy
20260,Madawala Bazaar,Kandy
20270,Gunnepana,Kandy
20300,Kadugannawa,Kandy
20308,Balana,Kandy
20400,Peradeniya,Kandy
20404,Uda Peradeniya,Kandy
20409,Megoda Kalugamuwa,Kandy
20414,Hindagala,Kandy
20420,Galaha,Kandy
20430,Deltota,Kandy
20438,Handawalapitiya,Kandy
20438,Nawalapitiya,Kandy
20440,Hewaheta,Kandy
20450,Pilimatalawa,Kandy
20454,Wattappola,Kandy
20465,Danture,Kandy
20470,Menikdiwela,Kandy
20480,Handessa,Kandy
20482,Leemagahakotuwa,Kandy
20500,Gampola,Kandy
20506,Udahentenna,Kandy
20510,Dolosbage,Kandy
20511,Pattitalawa,Kandy
20512,Meetalawa,Kandy
20524,Hondiyadeniya,Kandy
20532,Doluwa,Kandy
20544,Panwilatenna,Kandy
20546,Pupuressa,Kandy
20562,Ulapane,Kandy
20564,Mawatura,Kandy
20566,Maswela,Kandy
20567,Doragala,Kandy
20574,Atabage,Kandy
20578,Paradeka,Kandy
20580,Pussellawa,Kandy
20590,Ramboda,Kandy
20592,Labukele,Kandy
20610,Weligalla,Kandy
20620,Gelioya,Kandy
20640,Velamboda,Kandy
20644,Bambaragahaela,Kandy
20654,Pasbage,Kandy
20656,Gonawalapatana,Kandy
20658,Dekinda,Kandy
20662,Mapakanda,Kandy
20664,Galaboda,Kandy
20668,Hapugastalawa,Kandy
20669,Harangalagama,Kandy
20676,Rambukpitiya,Kandy
20678,Ambagamuwa,Kandy
20680,Ginigathena,Kandy
20682,Pitawala,Kandy
20684,Dagampitiya,Kandy
20686,Ambatalawa,Kandy
20702,Mailapitiya,Kandy
20708,Unuwinna,Kandy
20710,Hanguranketha,Kandy
20712,Gonagantenna,Kandy
20714,Marymount Colony,Kandy
20722,Udawatta,Kandy
20724,lllagolla,Kandy
20730,Rikillagaskada,Kandy
20732,Ekiriya,Kandy
20734,Pallebowala,Kandy
20738,Karandagolla,Kandy
20742,Elamulla,Kandy
20744,Mandaram Nuwara,Kandy
20748,Maturata,Kandy
20750,Padiyapelella,Kandy
20800,Katugastota,Kandy
20802,Udatalawinna,Kandy
20810,Wattegama,Kandy
20816,Doragamuwa,Kandy
20818,Rathukohodigala,Kandy
20822,Jambugahapitiya,Kandy
20824,Dunuwila,Kandy
20828,Makkanigama,Kandy
20830,Panvila,Kandy
20838,Tawalantenna,Kandy
20840,Madulkele,Kandy
20850,Akurana,Kandy
20900,Teldeniya,Kandy
20904,Senarathwela,Kandy
20906,Putuhapuwa,Kandy
20916,Udispattuwa,Kandy
20921,Makuldeniya,Kandy
20922,Rangala,Kandy
20924,Kahataliyadda,Kandy
20926,Kalugala,Kandy
20932,Bopana,Kandy
20934,Uduwahinna,Kandy
20938,Madugalla,Kandy
20940,Medamahanuwara,Kandy
20945,Mahadoraliyadda,Kandy
20948,Hunnasgiriya,Kandy
20950,Ududumbara,Kandy
20960,Hasalaka,Kandy
20965,Ulpothagama,Kandy
20966,Batumulla,Kandy
20967,Barawardhana Oya,Kandy
20982,Weragantota,Kandy
20984,Handaganawa,Kandy
20986,Ambagahapelessa,Kandy
20990,Rantembe,Kandy
21000,Matale,Matale
21004,Alwatta,Matale
21006,Udatenna,Matale
21008,Leliambe,Matale
21012,Elkaduwa,Matale
21014,Karagahinna,Matale
21020,Ovilikanda,Matale
21032,Dankanda,Matale
21046,Dunkolawatta,Matale
21048,Walawela,Matale
21051,Udasgiriya,Matale
21054,Dullewa,Matale
21055,Melipitiya,Matale
21056,Yatawatta,Matale
21058,Selagama,Matale
21062,Metihakka,Matale
21064,Imbulgolla,Matale
21066,Kaikawala,Matale
21068,Gammaduwa,Matale
21070,Palapathwela,Matale
21074,Madawala,Matale
21076,Opalgala,Matale
21090,Naula,Matale
21094,Lenadora,Matale
21100,Dambulla,Matale
21106,Kandalama,Matale
21108,Erawula Junction,Matale
21112,Kalundawa,Matale
21116,Talakiriyagama,Matale
21120,Sigiriya,Matale
21124,Inamaluwa,Matale
21140,Mahawela,Matale
21142,Akuramboda,Matale
21144,Mananwatta,Matale
21152,Pallepola,Matale
21156,Madipola,Matale
21160,Wahacotte,Matale
21200,Galewela,Matale
21206,Dewahuwa,Matale
21212,Bambaragaswewa,Matale
21214,Beligamuwa,Matale
21300,Ukuwela,Matale
21400,Rattota,Matale
21402,Etanawala,Matale
21404,Gangala,Matale
21406,lllukkumbura,Matale
21502,Pubbiliya,Matale
21504,Ambana,Matale
21506,Talagoda Junction,Matale
21512,Ataragallewa,Matale
21514,Hattota Amuna,Matale
21520,Laggala Pallegama,Matale
21524,Ranamuregama,Matale
21530,Wilgamuwa,Matale
21532,Perakanatta,Matale
21536,Handungamuwa,Matale
21538,Dunuwilapitiya,Matale
21552,Devagiriya,Matale
21554,Maraka,Matale
22000,Hatton,Nuwara Eliya
22002,Dunukedeniya,Nuwara Eliya
22008,Rozella,Nuwara Eliya
22010,Watawala,Nuwara Eliya
22012,Patana,Nuwara Eliya
22021,Maldeniya,Nuwara Eliya
22024,Hedunuwewa,Nuwara Eliya
22034,Laxapana,Nuwara Eliya
22044,Hangarapitiya,Nuwara Eliya
22046,Hitigegama,Nuwara Eliya
22050,Dikoya,Nuwara Eliya
22060,Bogawantalawa,Nuwara Eliya
22070,Maskeliya,Nuwara Eliya
22080,Kotagala,Nuwara Eliya
22090,Lindula,Nuwara Eliya
22094,Agarapathana,Nuwara Eliya
22095,Bopattalawa,Nuwara Eliya
22096,Dayagama Bazaar,Nuwara Eliya
22100,Talawakele,Nuwara Eliya
22110,Watagoda,Nuwara Eliya
22120,Pundaluoya,Nuwara Eliya
22200,Nuwara Eliya,Nuwara Eliya
22202,Santhipura,Nuwara Eliya
22208,Haggala,Nuwara Eliya
22212,Ruwaneliya,Nuwara Eliya
22216,Ambewela,Nuwara Eliya
22220,Kandapola,Nuwara Eliya
22226,Gonakele,Nuwara Eliya
22240,Halgranoya,Nuwara Eliya
22245,Rupaha,Nuwara Eliya
22250,Udapussallawa,Nuwara Eliya
22256,Madulla,Nuwara Eliya
22262,Harasbedda,Nuwara Eliya
22270,Walapane,Nuwara Eliya
22280,Nildandahinna,Nuwara Eliya
22282,Kalaganwatta,Nuwara Eliya
