Postal Code,City
20532,Doluwa
20544,Panwilatenna
20546,Pupuressa
20562,Ulapane
20564,Mawatura
20566,Maswela
20567,Doragala
20574,Atabage
20578,Paradeka
20580,Pussellawa
20590,Ramboda
20592,Labukele
20610,Weligalla
20620,Gelioya
20640,Velamboda
20644,Bambaragahaela
20654,Pasbage
20656,Gonawalapatana
20658,Dekinda
20662,Mapakanda
20664,Galaboda
20668,Hapugastalawa
20669,Harangalagama
20676,Rambukpitiya
20678,Ambagamuwa
20680,Ginigathena
20682,Pitawala
20684,Dagampitiya
20686,Ambatalawa
20702,Mailapitiya
20708,Unuwinna
20710,Hanguranketha
20712,Gonagantenna
20714,Marymount Colony
20722,Udawatta
20724,lllagolla
20730,Rikillagaskada
20732,Ekiriya
20734,Pallebowala
20738,Karandagolla
20742,Elamulla
20744,Mandaram Nuwara
20748,Maturata
20750,Padiyapelella
20800,Katugastota
20802,Udatalawinna
20810,Wattegama
20816,Doragamuwa
20818,Rathukohodigala
20822,Jambugahapitiya
20824,Dunuwila
20828,Makkanigama
20830,Panvila
20838,Tawalantenna
20840,Madulkele
20850,Akurana
20900,Teldeniya
20904,Senarathwela
20906,Putuhapuwa
20916,Udispattuwa
20921,Makuldeniya
20922,Rangala
20924,Kahataliyadda
20926,Kalugala
20932,Bopana
20934,Uduwahinna
20938,Madugalla
20940,Medamahanuwara
20945,Mahadoraliyadda
20948,Hunnasgiriya
20950,Ududumbara
20960,Hasalaka
20965,Ulpothagama
20966,Batumulla
20967,Barawardhana Oya
20982,Weragantota
20984,Handaganawa
20986,Ambagahapelessa
20990,Rantembe
21000,Matale
21004,Alwatta
21006,Udatenna
21008,Leliambe
21012,Elkaduwa
21014,Karagahinna
21020,Ovilikanda
21032,Dankanda
21046,Dunkolawatta
21048,Walawela
21051,Udasgiriya
21054,Dullewa
21055,Melipitiya
21056,Yatawatta
21058,Selagama
21062,Metihakka
21064,Imbulgolla
21066,Kaikawala
21068,Gammaduwa
21070,Palapathwela
21074,Madawala
21076,Opalgala
21090,Naula
21094,Lenadora
21100,Dambulla
21106,Kandalama
21108,Erawula Junction
21112,Kalundawa
21116,Talakiriyagama
21120,Sigiriya
21124,Inamaluwa
21140,Mahawela
21142,Akuramboda
21144,Mananwatta
21152,Pallepola
21156,Madipola
21160,Wahacotte
21200,Galewela
21206,Dewahuwa
21212,Bambaragaswewa
21214,Beligamuwa
21300,Ukuwela
21400,Rattota
21402,Etanawala
21404,Gangala
21406,lllukkumbura
21502,Pubbiliya
21504,Ambana
21506,Talagoda Junction
21512,Ataragallewa
21514,Hattota Amuna
21520,Laggala Pallegama
21524,Ranamuregama
21530,Wilgamuwa
21532,Perakanatta
21536,Handungamuwa
21538,Dunuwilapitiya
21552,Devagiriya
21554,Maraka
22000,Hatton
22002,Dunukedeniya
22008,Rozella
22010,Watawala
22012,Patana
22021,Maldeniya
22024,Hedunuwewa
22034,Laxapana
22044,Hangarapitiya
22046,Hitigegama
22050,Dikoya
22060,Bogawantalawa
22070,Maskeliya
22080,Kotagala
22090,Lindula
22094,Agarapathana
22095,Bopattalawa
22096,Dayagama Bazaar
22100,Talawakele
22110,Watagoda
22120,Pundaluoya
22200,Nuwara Eliya
22202,Santhipura
22208,Haggala
22212,Ruwaneliya
22216,Ambewela
22220,Kandapola
22226,Gonakele
22240,Halgranoya
22245,Rupaha
22250,Udapussallawa
22256,Madulla
22262,Harasbedda
22270,Walapane
22280,Nildandahinna
22282,Kalaganwatta
22285,Udamadura
22287,Teripeha
300,Colombo 03
30000,Batticaloa
30016,Kannankudah
30022,Pillaiyaradi
30024,Thannamunai
30100,Kattankudy
30150,Araipattai
30158,Puthukudiyiruppu
30160,Kokkaddichcholai
30162,Ampilanthurai
30194,Cheddipalayam
30196,Thettativu
30200,Kaluwanchikudi
30204,Vellavely
30206,Bakiella
30220,Mandur
30230,Periyaporativu
30234,Thirupalugamam
30236,Thikkodai
30250,Kallar
30254,Thuraineelavanai
30300,Eravur
30350,Chenkaladi
30352,Pankudavely
30354,Karadiyanaru
30358,Periyapullumalai
30362,Ayithiyamalai
30364,Unnichchai
30372,Kaluwankemy
30376,Vantharumoolai
30400,Valaichenai
30410,Kalkudah
30420,Oddamavadi
30424,Vakaneri
30428,Punanai
30442,Mankemi
30444,Panichankemi
30450,Vakarai
31000,Trincomalee
31006,Sampaltivu
31016,Tiriyayi
31026,Gomarankadawala
31028,Buckmigama
31032,Kanniya
31034,Pankulam
31036,Mahadivulwewa
31038,Rottawewa
31046,Tampalakamam
31050,Chinabay
31053,Vellamanal
31100,Kinniya
31106,Maharugiramam
31200,Mutur
31212,Kaddaiparichchan
31216,Sampur
31222,Somapura
31224,Mallikativu
31226,Dehiwatte
31232,Serunuwara
31234,Lankapatuna
31236,Echchilampattai
31238,Mawadichenai
31250,Toppur
31260,Seruwila
31300,Kantale
31304,Agbopura
31306,KantalaiSugarFactory
31308,Wanela
31312,Mullipothana
31314,Sirajnagar
31318,Galmetiyawa
32000,Ampara
32006,Deegawapiya
32008,Digamadulla
32010,Hingurana
32014,Damana
32016,Madawalalanda
32018,Mahanagapura
32022,Pannalagama
32024,Bakmitiyawa
32031,Paragahakele
32032,Polwaga Janapadaya
32034,Pahalalanda
32038,Devalahinda
32039,Wadinagala
32046,Dadayamtalawa
32048,Siyambalawewa
32050,Central Camp
32060,Uhana
32064,Gonagolla
32066,Galapitagala
32068,Rajagalatenna
32069,Mangalagama
32070,Mahaoya
32072,Tempitiya
32100,Padiyatalawa
32101,Serankada
32104,Dorakumbura
32120,Nawa Medagama
32126,Damanewela
32150,Dehiattakandiya
32155,Siripura
32158,Mawanagama
32198,Malwatta
32200,Samanthurai
32280,Sainthamaruthu
32300,Kalmunai
32300,Sainthamaruthu
32314,Marathamune
32316,Periyaneelavanai
32340,Nintavur
32350,Addalaichenai
32354,Palamunai
32360,Oluvil
32400,Akkaraipattu
32405,Kannakipuram
32415,Thambiluvil
32420,Thirukkovil
32420,Tirukovil
32450,lmkkamam
32454,Wanagamuwa
32500,Pottuvil
32508,Panama
32512,Labunoruwa
32514,Hulannuge
400,Colombo 04
40000,Jaffna
40250,Kirana Hill
41000,Mannar
42000,Mullativu
43000,Vavuniya
44000,Kilinochchi
500,Colombo 05
50000,Anuradhapura
50004,Perimiyankulama
50006,Galkadawala
50008,Saliyapura
50012,Viharapalugama
50014,Elayapattuwa
50016,Tantirimale
50020,Pemaduwa
50022,Mahawilachchiya
50029,Pandulagama
50036,Gnanikulama
50042,Sravasthipura
50044,Hidogama
50046,Nachchaduwa
50055,Parasangahawewa
50057,Gambirigaswewa
50062,Kurundankulama
50064,Galkulama
50067,Uttimaduwa
50068,Sivalakulama
50072,Tirappane
50080,Maradankadawala
50086,Walagambahuwa
50100,Kekirawa
50104,Tammennawa
50110,Vijithapura
50111,Palagala
50112,Andiyagala
50120,Galkiriyagama
50122,Pubbogama
50124,Halmillawa
50126,Maha Elagamuwa
50130,Madatugama
50142,Ganewalpola
50144,Palugaswewa
50150,Habarana
50169,Awukana
50170,Galnewa
50174,Kalankuttiya
50176,Hurigaswewa
50182,Maneruwa
50184,Siyambalewa
50196,Mahabulankulama
50200,Nochchiyagama
50206,Pahala Halmillewa
50207,Udunuwara Colony
50210,Galadivulwewa
50212,Ranorawa
50214,Dunumadalawa
50220,Pahala Maragahawe
50222,Horiwila
50224,Gemunupura
50226,Kalaoya
50230,Talawa
50232,Karagahawewa
50236,Malwanagama
50240,Tambuttegama
50242,Telhiriyawa
50244,Pahalagama
50246,Rajanganaya
50259,Kiralogama
50260,Eppawala
50262,lhala Halmillewa
50270,Mahailluppallama
50280,lpologama
50282,Kagama
50284,Senapura
50288,Kalakarambewa
50300,Mihintale
50304,lhalagama
50306,Mahakanadarawa
50308,Maradankalla
50320,Kahatagasdigiliya
50326,Parakumpura
50327,Mahapothana
50334,Megodawewa
50338,Padikaramaduwa
50344,Muriyakadawala
50350,Horawpatana
50354,Parangiyawadiya
50356,Dematawewa
50370,Kapugallawa
50380,Seeppukulama
50382,Upuldeniya
50384,Mailagaswewa
50386,Rampathwila
50390,Galenbindunuwewa
50392,Getalawa
50393,Dutuwewa
50394,Hurulunikawewa
50448,Pandukabayapura
50450,Rambewa
50454,Kallanchiya
50492,Wahamalgollewa
50500,Medawachchiya
50506,Punewa
50512,Pihimbiyagolewa
50514,Rathmalgahawewa
50516,Walahaviddawewa
50518,Etaweeragollewa
50550,Kebithigollewa
50552,Halmillawetiya
50554,Gonahaddenawa
50556,Kalawedi Ulpotha
50558,Tittagonewa
50562,Kahatagollewa
50564,Wahalkada
50566,Bogahawewa
50567,Pulmoddai
50570,Padaviya
50572,Padavi Maithripura
50574,Mahasenpura
50582,Padavi Parakramapura
50584,Etawatunuwewa
50586,Welioya Project
50587,Padavi Sripura
50588,Padavi Sritissapura
51000,Polonnaruwa
51002,Kalingaela
51004,Onegama
51006,Lakshauyana
51008,Unagalavehera
51014,Alutwewa
51016,Parakramasamudraya
51024,Jayanthipura
51026,Giritale
51031,Dimbulagala
51033,Pelatiyawa
51034,Ellewewa
51037,Kalukele Badanagala
51044,Talpotha
51046,Palugasdamana
51049,Tambala
51050,Pulastigama
51052,Sungavila
51062,Sevanapitiya
51070,Welikanda
51072,Aselapura
51076,Mahawela Sinhapura
51089,Tamankaduwa
51090,Manampitiya
51092,Dalukana
51094,Dewagala
51098,Hansayapalama
51100,Aralaganwila
51102,Pimburattewa
51104,Divuldamana
51106,Damminna
51108,Maduruoya
51225,Diyabeduma
51235,Attanakadawala
51246,Jayasiripura
51250,Bakamuna
51258,Elahera
51375,Galoya Junction
51378,Sinhagama
51400,Hingurakgoda
51408,Hingurakdamana
51410,Minneriya
51416,Galamuna
51422,Yodaela
51424,Yudaganawa
51428,Divulankadawala
51500,Medirigiriya
51504,Diyasenpura
51506,Mahatalakolawewa
51508,Meegaswewa
51518,MahaAmbagaswewa
600,Colombo 06
60000,Kurunegala
60013,Doratiyawa
60016,Indulgodakanda
60024,Demataluwa
60025,Ithanawatta
60027,Boyagane
60034,Hindagolla
60036,Ambakote
60040,Ridigama
60044,Delwite
60045,Iriyagolla
60047,Alawatuwala
60052,Panagamuwa
60053,Pihimbuwa
60054,Kanadeniyawala
60058,Pilessa
60060,Mawathagama
60062,Kahapathwala
60064,Inguruwatta
60066,Meetanwala
60072,Puswelitenna
60074,Anhandiya
60076,Buluwala
60094,Uhumiya
60096,Kalugamuwa
60100,Narammala
60106,Karagahagedara
60107,Bogamulla
60108,Lonahettiya
60112,Pahamune
60121,Metiyagane
60130,Dambadeniya
60135,Ihala Katugampala
60140,Giriulla
60155,Bopitiya
60156,Elibichchiya
60160,Pannala
60162,Labbala
60170,Gonawila
60174,Daraluwa
60176,Sandalankawa
60181,Horambawa
60182,Alahitiyawa
60183,Kekunagolla
60188,Kithalawa
60198,Walakumburumulla
60200,Kuliyapitiya
60202,Yakwila
60204,Wadumunnegedara
60208,Thalahitimulla
60209,Madakumburumulla
60211,Ihala Gomugomuwa
60214,Anukkane
60218,Munamaldeniya
60221,Magulagama
60227,Tharana Udawela
60228,Deegalla
60232,llukhena
60236,Padiwela
60238,lhala Kadigamuwa
60250,Udubaddawa
60260,Dummalasuriya
60262,Watuwatta
60266,Etungahakotuwa
60280,Alawwa
60286,Maharachchimulla
60291,Bujjomuwa
60300,Polgahawela
