Postal Code,City
81541,Beralapanathara
81600,Urubokka
81612,Dampahala
81614,Bengamuwa
81615,Pasgoda
81700,Weligama
81722,Penetiyana
81730,Denipitiya
81740,Mirissa
81750,Kamburugamuwa
82000,Hambantota
82002,Bundala
82005,Bandagiriya Colony
82006,Gonnoruwa
82008,Pahala Andarawewa
82010,Sooriyawewa Town
82014,Migahajandur
82016,Mahagalwewa
82018,Ranmuduwewa
82100,Ambalantota
82102,Beragama
82106,RU/Ridiyagama
82108,Lunama
82109,Mamadala
82110,Barawakumbuka
82120,Hungama
82125,Ranna
82126,Kahandamodara
82135,Netolpitiya
82200,Tangalla
82220,Angunakolapelessa
82232,Vitharandeniya
82240,Weeraketiya
82242,Mulkirigala
82248,Hakuruwela
82252,Julampitiya
82254,Medamulana
82270,Middeniya
82276,Ratmalwala
82278,Uswewa
82300,Nakulugamuwa
82400,Beliatta
82401,Goda Koggalla
82412,Ihala Beligala
82416,Modarawana
82418,Yatigala
82420,Getamanna
82450,Walasmulla
82454,Pallekanda
82456,Horewelagoda
82458,Bowalagama
82462,Ittademaliya
82500,Katuwana
82504,Uda Gomadiya
82506,Gangulandeniya
82554,Rammalawarapitiya
82600,Tissamaharama
82602,GonagamuwaUduwila
82608,Magama
82612,Ranakeliya
82615,Weerawila New
82618,Beralihela
82619,Ellagala
82632,Weerawila
82634,Lunugamwehera
82636,Padawkema
82638,Udamattala
900,Colombo 09
90000,Badulla
90008,Soranatota
90012,Timbirigaspitiya
90013,Egodawela
90014,Taldena
90015,Meegahakiula
90017,Arawa
90019,Baduluoya
90020,Kandaketya
90022,Maliyadda
90026,Rilpola
90028,Spring Valley
90044,Sirimalgoda
90052,Kahataruppa
90060,Hali Ela
90061,Uva Uduwara
90062,Uva Deegalla
90063,Jangulla
90065,Galauda
90066,Beramada
90067,Godunna
90068,Landewela
90070,Kandegedara
90071,Pathanewatta
90072,Tennepanguwa
90080,Demodara
90082,Gawarawela
90090,Ella
90091,Uva Karandagolla
90092,Ballaketuwa
90094,Helapupula
90100,Bandarawela
90104,Dulgolla
90106,Liyangahawela
90108,Ambadandegama
90112,Heeloya
90114,Makulella
90122,Helahalpe
90132,Diganatenna
90138,Pattiyagedara
90140,Ettampitiya
90150,Diyatalawa
90160,Haputale
90164,Ratkarawwa
90166,Akkarasiy
90167,Idalgashinna
90168,Ohiya
90170,Boralanda
90171,Pitapola
90180,Haldummulla
90183,Soragune
90186,Kalupahana
90188,Uva Tenna
90192,Uva Mawelagama
90200,Welimada
90204,Amunumulla
90206,Galedanda
90208,Gurutalawa
90212,Puhulpola
90214,Dikkapitiya
90216,Nugatalawa
90218,Medawela Udukinda
90222,Perawella
90224,Hangunnawa
90226,Uduhawara
90230,Uvaparanagama
90300,Ambagasdowa
90302,Bowela
90310,Lunuwatta
90322,Bambarapana
90324,Dimbulana
90326,Ambagahawatta
90328,Maspanna
90329,Yalagamuwa
90350,Keppetipola
90352,Kalubululanda
90354,Bogahakumbura
90356,Kandepuhulpola
90358,Hewanakumbura
90362,Boragas
90364,Silmiyapura
90500,Passara
90502,Bibilegama
90508,Hingurukaduwa
90512,Gamewela
90518,Medawelagama
90522,Pelagahatenna
90524,Hopton
90530,Lunugala
90532,Arawakumbura
90534,Pallekiruwa
90535,Madulsima
90540,Metigahatenna
90542,Atakiriya
90544,Pitamaruwa
90546,Kalugahakandura
90582,Maussagolla
90700,Mahiyanganaya
90702,Uraniya
90704,Ridimaliyadda
90706,Yalwela
90712,Arawatta
90714,Dambana
90718,Sorabora Colony
90722,Aluttaramma
90724,Hebarawa
90726,Divulapelessa
90730,Mapakadawewa
90734,Uva Tissapura
90736,Aluketiyaw
90750,Girandurukotte
90752,Galporuyaya
90754,Malgoda
90756,Pahalarathkinda
91000,Monaragala
91002,Pangura
91004,Hulandawa
91005,Wedikumbura
91006,Marawa
91007,Obbegoda
91008,Galabedda
91010,Dombagahawela
91020,Ethimalewewa
91030,Siyambalanduwa
91032,Kandaudapanguwa
91038,Buddama
91040,Inginiyagala
91050,Dambagalla
91052,Mariarawa
91054,Uva Gangodagama
91056,Ruwalwela
91058,Baduluwela
91060,Okkampitiya
91070,Badalkumbura
91100,Buttala
91112,Uva Pelawatta
91198,Warunagama
91200,Wellawaya
91202,Siyambalagune
91204,Randeniya
91250,Ettiliwewa
91295,Balaharuwa
91298,Uva Kudaoya
91300,Tanamalwila
91302,Angunakolawewa
91306,Suriara
91308,Hambegamuwa
91400,Kataragama
91405,Sella Kataragama
91500,Bibile
91502,Ekiriyankumbura
91505,Pitakumbura
91514,Diyakobala
91516,Ayiwela
91550,Medagama
91550,Medagana
91552,Kandawinna
91554,Bakinigahawela
